seed,netname,use_bit_wise,use_vec_wise,pairwise_multiplication,emb_dim,bit_width,vec_width,grid,k,dataset,task,epochs,batch_size,lr,weight_decay,gamma,note,device_index,test_auc,test_logloss
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8530118199294845,0.31739203333854676
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8509846058695629,0.3194599896669388
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8516077257158416,0.31962673664093016
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8539858784052747,0.3167725130915642
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8538272969848153,0.31676231920719145
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.854076023879502,0.3168739378452301
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8540083399153555,0.31679551899433134
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8521120659111656,0.31803722828626635
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8539373901909721,0.3164620608091354
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8537468121874803,0.3172934055328369
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8530799073546842,0.3175869196653366
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8539147110569829,0.3170735165476799
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8519451896587003,0.31829929500818255
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8532138945077179,0.3175664782524109
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8520907325688094,0.3179814785718918
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8538331837015922,0.31691819727420806
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8529372156274538,0.3175055906176567
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8543712316351926,0.31646471470594406
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.852074192827547,0.31812920421361923
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8533304974520297,0.3176437333226204
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.853245681780446,0.3171423882246017
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8542268008080278,0.3166755214333534
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,1,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8537215645470997,0.31714667975902555
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8532778665292773,0.3174981355667114
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8535049001559007,0.31736622005701065
